country;dateOfBirth;workclass;education;maritalStatus;sex;hours;savings;income;mortgage;mobile_car_sport
Spain;10/6/1973;Public;High School;Married; Female;27;9579;1012;false;Samsung, Others, Basketball
Germany;9/5/1975;Public;Bachelors;Never Married; Female;18,5;35834;6279;false;Others, Others, Non
Spain;5/19/1974;Public;High School;Divorced; Male;31,5;37330;6296;false;iPhone, Ford, Basketball
Germany;8/16/1984;Public;High School;Divorced; Male;38;55212;6647;false;iPhone, Ford, Basketball
Portugal;10/19/1974;Private;Bachelors;Married; Male;20,5;80759;3580;false;Others, Volkswagen, Non
Spain;10/17/1980;Unknown;Bachelors;Separated; Male;24;4217;816;true;iPhone, BMW, Basketball
Italy;1/7/1975;Self Employed;Bachelors;Married; Male;20,5;9049;692;false;Iphone, Others, Football
Italy;6/23/1981;Unknown;Masters;Separated; Male;15;5895;499;false;iPhone, Others, Non
Spain;7/21/1971;Self Employed;Masters;Divorced; Male;38;3343;1128;false;iPhone, Others, Non
Portugal;11/1/1975;Public;Bachelors;Married; Female;32;4746;1857;true;Samsung, Others, Football
Spain;12/28/1983;Public;Bachelors;Married; Female;25,5;88875;6514;false;Others, Others, Non
France;5/3/1981;Public;Bachelors;Divorced; Male;31;7106;1816;true;iPhone, Honda, Non
France;11/16/1983;Self Employed;High School;Married; Male;25,5;25762;3443;true;iPhone, Others, Tennis
Portugal;7/14/1989;Self Employed;Bachelors;Divorced; Male;31;6570;1683;false;Others, BMW, Basketball
Italy;5/14/1970;Public;Bachelors;Married; Male;40;9629;1679;false;iPhone, BMW, Non
Germany;8/27/1981;Self Employed;High School;Never Married; Female;24;66427;6128;false;Others, Audi, Football
Spain;5/20/1983;Self Employed;Bachelors;Divorced; Female;31,5;23155;4068;false;iPhone, Audi, Non
Portugal;9/20/1972;Self Employed;Masters;Married; Male;37;3022;1754;false;Others, Others, Paddle
Germany;5/22/1982;Public;High School;Married; Female;25,5;7695;1158;true;Iphone, Volkswagen, Paddle
Portugal;9/26/1983;Public;High School;Never Married; Male;15;3607;456;false;iPhone, Others, Non
Germany;6/16/1986;Public;Doctorate;Married; Male;23;7345;1770;false;Others, Ford, Non
Germany;3/11/1981;Self Employed;Bachelors;Married; Female;35;39998;4221;false;Samsung, Others, Non
Spain;6/12/1970;Unknown;Bachelors;Never Married; Male;7,5;8392;360;false;Iphone, Others, Football
Portugal;6/3/1989;Self Employed;Masters;Married; Female;29;7052;1049;true;Samsung, Audi, Basketball
Germany;12/15/1974;Private;High School;Married; Male;21;7744;693;false;iPhone, Seat, Non
Germany;6/16/1971;Public;Bachelors;Never Married; Female;36,5;30386;5292;false;Iphone, Others, Tennis
France;3/24/1984;Self Employed;Doctorate;Married; Male;20;52556;3126;false;Iphone, Others, Non
France;8/4/1983;Unknown;Bachelors;Married; Female;22,5;31313;6429;false;Iphone, Others, Non
France;3/12/1975;Self Employed;Bachelors;Married; Male;22;5546;1410;false;Samsung, Others, Football
Germany;6/22/1975;Self Employed;Bachelors;Divorced; Male;29;3337;502;false;iPhone, Ford, Basketball
Italy;2/4/1982;Private;Bachelors;Separated; Male;24,5;8681;853;true;iPhone, Others, Football
France;2/12/1981;Public;Bachelors;Married; Male;22;71454;3730;false;iPhone, Others, Basketball
Spain;7/26/1971;Self Employed;Masters;Married; Male;26,5;44482;3066;true;iPhone, BMW, Football
France;2/3/1984;Public;Bachelors;Divorced; Male;38,5;8346;1006;false;Iphone, Others, Basketball
Germany;3/5/1986;Self Employed;High School;Married; Male;10,5;7640;433;false;iPhone, Others, Non
Portugal;2/16/1982;Self Employed;Bachelors;Never Married; Female;36;5913;1355;false;iPhone, Others, Non
Germany;3/15/1988;Public;Masters;Married; Female;22;7214;1322;false;iPhone, Ford, Non
France;4/2/1972;Unknown;Bachelors;Married; Female;19,5;4128;979;false;iPhone, Others, Football
Spain;2/14/1981;Private;Bachelors;Divorced; Male;26,5;41346;2123;false;Iphone, Volkswagen, Paddle
Germany;1/20/1981;Unknown;Bachelors;Separated; Female;17;5192;1141;false;Others, Others, Tennis
Germany;6/3/1986;Private;Doctorate;Married; Male;33;6972;1577;false;Samsung, Seat, Tennis
France;7/11/1987;Self Employed;Masters;Separated; Male;20;36089;5733;true;Samsung, Audi, Tennis
France;6/9/1970;Unknown;Doctorate;Married; Male;5,5;7312;335;true;iPhone, BMW, Non
France;10/1/1983;Public;Bachelors;Married; Male;27,5;10415;1581;false;iPhone, Others, Non
Spain;12/7/1986;Public;Bachelors;Married; Male;31,5;6901;1355;false;iPhone, Others, Football
Italy;1/25/1982;Unknown;Bachelors;Married; Male;13;5481;393;true;Samsung, Honda, Basketball
France;1/25/1972;Unknown;Bachelors;Separated; Female;33,5;7911;1223;false;Iphone, Seat, Paddle
Portugal;7/5/1971;Unknown;High School;Divorced; Male;8;6383;357;false;Samsung, Others, Non
Germany;3/6/1972;Private;Bachelors;Married; Female;21,5;9869;632;false;Samsung, Audi, Paddle
Germany;8/29/1986;Unknown;Bachelors;Married; Male;9;3582;450;false;iPhone, Others, Tennis
Germany;1/21/1973;Private;Bachelors;Married; Male;19,5;8082;1375;true;Samsung, Others, Non
Portugal;8/7/1989;Self Employed;High School;Separated; Male;37,5;13985;1844;false;Others, Others, Non
France;10/12/1988;Public;Bachelors;Never Married; Female;37,5;9102;652;false;iPhone, Ford, Paddle
Germany;7/8/1981;Private;Masters;Married; Male;28;4778;1836;false;iPhone, BMW, Non
Spain;6/15/1981;Private;High School;Married; Male;37,5;24569;5343;false;Samsung, Seat, Basketball
Germany;8/6/1972;Self Employed;Bachelors;Married; Female;37;3589;1991;false;Samsung, Others, Non
Portugal;1/23/1976;Public;Bachelors;Divorced; Male;18,5;5105;1185;false;iPhone, Others, Football
France;12/5/1974;Self Employed;Bachelors;Married; Male;37,5;8020;881;false;Others, BMW, Football
France;8/17/1981;Self Employed;Doctorate;Married; Female;26,5;38518;3491;false;iPhone, Others, Non
Portugal;8/6/1984;Self Employed;Bachelors;Never Married; Male;14;5810;441;true;Samsung, Volkswagen, Basketball
France;11/11/1979;Private;Masters;Married; Male;36;9641;1394;true;iPhone, Seat, Football
France;3/22/1982;Unknown;High School;Married; Male;37;7193;1630;false;iPhone, Others, Basketball
France;7/14/1980;Public;Masters;Married; Male;28;14310;1935;true;Samsung, Others, Football
Germany;6/14/1976;Unknown;Bachelors;Separated; Male;38,5;7675;971;true;Others, Volkswagen, Football
Spain;7/26/1986;Self Employed;Bachelors;Separated; Female;27;9249;1009;false;iPhone, Others, Basketball
Spain;7/27/1986;Unknown;Masters;Divorced; Male;33,5;8353;1108;false;iPhone, Others, Basketball
France;10/27/1989;Unknown;Bachelors;Married; Male;16;9161;438;true;iPhone, Ford, Basketball
France;9/24/1972;Public;Masters;Married; Male;37;5139;1233;false;iPhone, Seat, Basketball
Spain;5/10/1975;Public;Masters;Married; Female;39,5;4717;1267;true;iPhone, Seat, Football
Italy;9/23/1987;Self Employed;Masters;Divorced; Male;31;8733;985;true;iPhone, Ford, Football
Germany;3/5/1989;Public;Masters;Married; Male;21;24322;5240;false;iPhone, Ford, Tennis
France;4/22/1987;Self Employed;Bachelors;Married; Male;21,5;9322;860;false;Samsung, Others, Non
Spain;4/3/1971;Private;High School;Divorced; Female;25;68702;4019;true;iPhone, Honda, Basketball
Portugal;10/21/1982;Self Employed;Bachelors;Never Married; Male;17;92305;4678;false;Samsung, Others, Basketball
Portugal;4/6/1982;Self Employed;Bachelors;Married; Male;28;55593;5069;true;Iphone, Ford, Football
Portugal;10/3/1976;Self Employed;Bachelors;Married; Female;23,5;3083;1528;false;Samsung, Others, Basketball
Germany;9/7/1990;Private;Bachelors;Divorced; Male;22;8402;1304;false;iPhone, Others, Football
France;4/3/1982;Unknown;Bachelors;Divorced; Male;20,5;8092;1975;true;Iphone, Others, Football
Italy;4/29/1983;Private;Bachelors;Married; Female;36;27637;6428;true;Samsung, Others, Non
Germany;9/18/1988;Public;Bachelors;Married; Female;17,5;4310;1241;true;Iphone, Volkswagen, Non
Germany;11/11/1978;Self Employed;Bachelors;Married; Male;35;6027;642;true;Others, Others, Non
Portugal;1/25/1972;Unknown;Masters;Married; Male;38,5;7933;1707;true;iPhone, Volkswagen, Basketball
Italy;7/15/1990;Private;Masters;Separated; Male;29;3050;1924;true;iPhone, Others, Non
Germany;5/13/1987;Unknown;Bachelors;Married; Female;26,5;8142;775;true;Iphone, Honda, Tennis
Italy;5/10/1974;Self Employed;Masters;Never Married; Male;14;9391;344;true;Samsung, Others, Basketball
France;2/11/1980;Public;Bachelors;Married; Female;34,5;7238;1002;true;Samsung, Others, Basketball
Spain;7/26/1987;Unknown;Bachelors;Divorced; Female;36,5;7792;930;true;Samsung, Others, Non
Spain;7/7/1981;Self Employed;Bachelors;Divorced; Female;20,5;5760;1693;false;Others, Ford, Basketball
Portugal;8/1/1971;Private;High School;Separated; Male;5,5;7750;303;false;iPhone, Others, Non
Portugal;11/21/1973;Unknown;High School;Married; Male;33;3331;753;false;iPhone, Volkswagen, Basketball
Germany;4/10/1988;Private;Doctorate;Never Married; Female;27;8284;720;true;Samsung, Audi, Non
France;10/29/1975;Self Employed;High School;Married; Male;31;5313;1535;false;iPhone, Others, Paddle
Spain;4/20/1989;Private;High School;Married; Female;34;8720;629;true;iPhone, Others, Tennis
Germany;7/8/1976;Unknown;Bachelors;Married; Male;40;7856;1039;false;iPhone, Audi, Non
Portugal;9/21/1979;Self Employed;Bachelors;Separated; Male;18;8182;1521;true;iPhone, Others, Paddle
Portugal;8/2/1970;Self Employed;High School;Married; Male;25;4128;1999;false;Others, Audi, Non
Portugal;3/4/1974;Private;Bachelors;Married; Male;35;4394;1460;false;iPhone, Others, Basketball
France;3/23/1990;Unknown;Bachelors;Married; Male;38,5;7146;904;false;Samsung, Others, Basketball
Germany;2/7/1975;Private;High School;Married; Female;20,5;8258;1545;true;iPhone, Others, Non
Germany;4/24/1990;Public;Bachelors;Married; Female;38;6561;1245;false;Samsung, Others, Basketball
Portugal;10/12/1986;Private;Bachelors;Married; Female;21;5867;1151;true;Samsung, Others, Football
France;3/19/1985;Self Employed;Bachelors;Married; Female;12,5;4095;326;true;Others, Others, Football
Germany;10/29/1978;Unknown;High School;Married; Male;34,5;7389;1132;false;iPhone, Seat, Non
Spain;10/13/1973;Public;Bachelors;Married; Female;37,5;65389;4507;false;Samsung, BMW, Non
Portugal;9/13/1970;Self Employed;Bachelors;Married; Male;24;5159;600;false;iPhone, Others, Paddle
Italy;10/7/1976;Public;High School;Married; Male;34;25782;4641;true;iPhone, Honda, Non
Germany;8/14/1978;Private;Doctorate;Married; Male;16,5;21620;3577;true;Samsung, Others, Non
France;5/30/1987;Unknown;Bachelors;Married; Male;38,5;8326;1101;true;Iphone, Others, Tennis
France;9/12/1979;Self Employed;Doctorate;Divorced; Female;21;35720;2631;false;Iphone, Others, Basketball
France;9/10/1981;Unknown;Doctorate;Married; Female;39;7959;1391;true;iPhone, BMW, Non
France;1/10/1988;Self Employed;Masters;Divorced; Female;25,5;4423;1064;true;iPhone, Others, Paddle
Germany;4/23/1985;Public;Bachelors;Married; Male;28;3502;936;true;iPhone, Others, Non
France;2/22/1990;Unknown;Bachelors;Separated; Male;29,5;22560;6612;false;iPhone, Ford, Non
France;5/1/1989;Public;Bachelors;Married; Male;6;6051;422;true;iPhone, BMW, Football
Portugal;10/3/1982;Public;High School;Married; Male;37,5;6470;1327;true;iPhone, Ford, Tennis
Portugal;3/18/1976;Private;Bachelors;Married; Male;21,5;79037;6197;false;iPhone, Audi, Non
Portugal;6/10/1972;Private;Bachelors;Married; Female;24,5;9722;1989;false;iPhone, Others, Football
Italy;7/18/1979;Private;Bachelors;Divorced; Female;23;3490;1314;true;iPhone, BMW, Basketball
Italy;5/19/1970;Private;Bachelors;Married; Male;35,5;26812;4584;false;iPhone, Others, Non
Spain;6/19/1985;Unknown;Bachelors;Separated; Male;39,5;90842;6116;false;iPhone, Others, Football
Portugal;4/3/1971;Self Employed;Bachelors;Married; Female;29,5;5591;531;false;Samsung, BMW, Football
Italy;11/1/1976;Self Employed;Bachelors;Never Married; Male;26,5;13163;1905;false;iPhone, Others, Paddle
France;3/13/1984;Public;High School;Married; Male;32;3528;1030;false;iPhone, Volkswagen, Non
France;2/13/1976;Private;Bachelors;Married; Male;28,5;5233;1216;false;Others, Audi, Non
Italy;12/13/1988;Unknown;Masters;Never Married; Female;36,5;6164;1698;false;Samsung, BMW, Football
Germany;6/28/1981;Self Employed;Doctorate;Married; Male;5,5;5746;402;false;iPhone, Honda, Non
France;6/4/1970;Self Employed;Bachelors;Married; Male;27,5;5117;996;false;iPhone, BMW, Football
France;10/27/1972;Public;High School;Married; Male;38,5;8129;616;true;iPhone, Seat, Football
Portugal;6/5/1978;Unknown;Doctorate;Separated; Male;26;8505;1061;true;Iphone, Others, Non
Italy;9/12/1980;Private;Masters;Divorced; Male;31,5;9662;1561;true;iPhone, Ford, Non
France;9/25/1980;Private;Bachelors;Married; Male;22;11203;657;false;Samsung, Volkswagen, Non
France;9/25/1974;Unknown;High School;Married; Male;30,5;9735;1698;true;Iphone, Audi, Tennis
Portugal;5/7/1988;Self Employed;Bachelors;Married; Male;18;7308;1673;true;Samsung, Audi, Basketball
Spain;3/14/1983;Public;High School;Divorced; Male;23;9450;959;false;Samsung, Others, Non
France;9/8/1977;Self Employed;High School;Married; Male;23;5044;941;false;iPhone, Honda, Non
Italy;6/5/1983;Unknown;Bachelors;Separated; Male;17;9603;518;false;iPhone, Volkswagen, Paddle
Germany;7/26/1983;Unknown;Bachelors;Married; Female;18,5;7557;776;true;Samsung, BMW, Non
Spain;6/3/1990;Public;Doctorate;Married; Male;24;3876;1245;true;Iphone, Audi, Non
France;9/24/1972;Self Employed;Doctorate;Married; Female;17;6542;337;false;iPhone, Seat, Non
Portugal;3/25/1975;Unknown;Masters;Married; Male;37;3926;1188;false;iPhone, Volkswagen, Non
Germany;3/29/1983;Public;High School;Married; Male;35,5;4443;1295;true;Others, Seat, Non
Spain;10/31/1980;Public;Bachelors;Married; Male;17,5;6972;1790;true;iPhone, Others, Non
Germany;7/27/1971;Self Employed;Bachelors;Married; Female;32;11407;1612;true;iPhone, Audi, Basketball
Germany;8/26/1975;Private;Doctorate;Divorced; Male;37;18798;537;false;iPhone, Others, Non
Germany;10/2/1990;Private;High School;Divorced; Male;36;6359;797;true;Samsung, Others, Non
France;10/29/1971;Private;High School;Divorced; Male;22;8983;1744;false;Samsung, Others, Basketball
France;2/28/1990;Private;Bachelors;Married; Male;31,5;7028;851;false;iPhone, Others, Non
France;5/12/1985;Public;Doctorate;Married; Female;26;29087;6597;false;iPhone, Others, Football
Italy;10/31/1985;Public;Masters;Married; Male;40;3767;1264;true;Samsung, Audi, Football
Germany;11/23/1979;Self Employed;Bachelors;Separated; Male;31,5;9311;1407;false;iPhone, Others, Football
Germany;12/23/1978;Unknown;Bachelors;Married; Male;28,5;28971;5788;true;Others, Others, Basketball
Italy;9/10/1988;Unknown;High School;Married; Female;30,5;28759;3770;false;Samsung, Volkswagen, Basketball
Portugal;3/4/1989;Self Employed;Bachelors;Divorced; Male;37;4337;971;false;Iphone, Others, Football
Spain;9/2/1982;Public;Bachelors;Married; Male;38;9565;730;true;iPhone, Others, Tennis
Germany;4/8/1974;Unknown;High School;Married; Female;27,5;3928;904;true;Samsung, Ford, Non
Germany;7/18/1988;Self Employed;Masters;Married; Male;25,5;7332;1247;false;Others, BMW, Paddle
Portugal;6/7/1973;Public;Masters;Divorced; Female;39;27212;6904;true;Samsung, Audi, Non
France;1/10/1984;Private;Masters;Married; Male;17,5;4489;639;false;Samsung, Seat, Non
France;10/1/1974;Unknown;High School;Married; Female;29,5;3393;525;false;Samsung, Others, Basketball
Portugal;1/8/1986;Private;Bachelors;Married; Female;15,5;8716;330;true;Samsung, Volkswagen, Tennis
Portugal;11/15/1987;Self Employed;Bachelors;Never Married; Female;6,5;8257;350;false;iPhone, BMW, Football
France;2/25/1979;Public;Bachelors;Married; Female;25;6819;694;true;iPhone, Others, Non
Italy;10/18/1976;Self Employed;Bachelors;Married; Male;28,5;9604;982;true;iPhone, Ford, Football
France;10/17/1977;Unknown;Bachelors;Married; Female;8;4334;497;true;Samsung, Seat, Football
Italy;12/18/1988;Unknown;High School;Married; Male;26,5;29176;2416;false;Samsung, Ford, Football
Germany;8/15/1973;Unknown;Masters;Married; Male;24,5;7255;1101;true;Samsung, Seat, Basketball
Spain;3/22/1984;Public;Bachelors;Never Married; Female;18;7391;1867;false;iPhone, Others, Basketball
Spain;1/22/1971;Private;High School;Married; Female;16;9896;309;false;Samsung, Seat, Non
Spain;2/9/1986;Unknown;High School;Married; Male;21,5;7165;1924;true;Samsung, Others, Non
Portugal;4/29/1990;Public;High School;Married; Male;31,5;4195;1360;false;Iphone, Others, Basketball
Portugal;1/5/1976;Unknown;Bachelors;Married; Male;18;35444;4942;true;iPhone, Honda, Non
Spain;5/10/1987;Public;Masters;Separated; Male;38,5;4940;1522;true;Samsung, Honda, Football
Portugal;8/13/1985;Self Employed;High School;Married; Male;32;4573;1679;false;Samsung, BMW, Non
Spain;12/17/1975;Public;Bachelors;Married; Male;28;5263;1507;true;Samsung, Honda, Football
Italy;1/30/1983;Self Employed;Doctorate;Divorced; Female;36,5;7505;1442;false;Others, Honda, Non
Spain;7/15/1974;Unknown;High School;Married; Male;22;8571;1322;false;Samsung, Others, Non
France;9/24/1990;Unknown;Masters;Never Married; Male;36;3178;1301;false;iPhone, Others, Football
Portugal;10/12/1987;Public;Bachelors;Married; Male;20;5852;673;false;iPhone, Honda, Non
Spain;7/7/1987;Self Employed;Bachelors;Separated; Female;25,5;5491;781;true;iPhone, Ford, Basketball
Spain;3/12/1983;Self Employed;Bachelors;Married; Male;18,5;28876;5413;false;iPhone, Others, Basketball
Portugal;9/15/1982;Self Employed;Bachelors;Married; Female;19;7427;1899;false;iPhone, Honda, Basketball
Portugal;10/14/1980;Public;Masters;Married; Male;30;50659;6538;false;Iphone, BMW, Non
Spain;12/18/1986;Unknown;Masters;Married; Male;22,5;5477;1364;true;iPhone, Others, Football
Spain;4/6/1970;Unknown;Bachelors;Married; Male;5,5;9553;317;true;Samsung, Others, Non
Germany;5/28/1973;Private;Doctorate;Married; Male;28,5;9776;1488;false;iPhone, Volkswagen, Tennis
Italy;3/25/1970;Unknown;Bachelors;Married; Male;32;6018;1736;true;iPhone, Others, Non
France;11/17/1983;Unknown;High School;Married; Female;37;13737;724;false;Others, Others, Non
France;3/6/1975;Unknown;High School;Married; Male;35;31178;4934;true;iPhone, Ford, Basketball
Portugal;2/6/1981;Public;Doctorate;Married; Female;5,5;8437;333;false;iPhone, Honda, Non
France;3/8/1980;Private;High School;Married; Male;27,5;9269;1435;true;Samsung, Volkswagen, Basketball
Italy;1/23/1989;Public;Bachelors;Separated; Male;20,5;99602;4292;false;iPhone, Others, Non
Spain;7/5/1988;Private;Bachelors;Married; Male;17;3995;1408;true;iPhone, Ford, Basketball
Spain;3/18/1972;Unknown;Masters;Married; Male;40;5677;1144;false;Iphone, BMW, Non
France;11/11/1978;Private;Bachelors;Married; Female;23,5;3469;778;false;Iphone, BMW, Non
France;2/24/1979;Public;Doctorate;Divorced; Female;19,5;3094;877;false;Iphone, Others, Non
France;7/19/1975;Private;Bachelors;Married; Female;28;98722;4796;true;Samsung, Others, Non
Spain;12/14/1985;Self Employed;High School;Married; Male;18,5;33362;5304;false;Others, Volkswagen, Basketball
Germany;9/13/1973;Unknown;Bachelors;Married; Male;20;63472;6586;true;Others, Others, Basketball
Portugal;8/25/1989;Public;Doctorate;Married; Female;35,5;3947;1466;false;iPhone, BMW, Non
Spain;7/17/1971;Self Employed;High School;Separated; Male;33;32738;2241;false;Others, Others, Non
France;10/31/1984;Public;High School;Divorced; Female;36;20294;4856;true;iPhone, Seat, Football
Germany;8/24/1985;Public;Masters;Married; Male;33,5;18767;1778;false;Others, Honda, Non
Portugal;12/23/1986;Unknown;Masters;Married; Male;18,5;17770;958;false;iPhone, Others, Tennis
Portugal;2/26/1983;Public;Bachelors;Married; Male;17,5;5763;846;false;Samsung, Others, Basketball
Spain;12/29/1982;Public;High School;Married; Male;20,5;5447;787;false;Iphone, Others, Tennis
Germany;7/3/1986;Private;Bachelors;Separated; Male;19,5;7491;843;true;Others, Others, Basketball
Spain;7/13/1983;Unknown;Masters;Never Married; Male;28,5;4531;977;true;iPhone, Others, Tennis
Spain;5/26/1976;Self Employed;Bachelors;Married; Male;28;3944;1793;true;Others, BMW, Football
Spain;1/15/1976;Private;High School;Married; Male;23,5;3132;1550;false;Others, Others, Non
Germany;1/29/1985;Private;High School;Never Married; Male;22,5;3827;1479;false;Samsung, Others, Non
Germany;11/25/1986;Self Employed;Doctorate;Separated; Female;20,5;7789;1394;false;iPhone, Others, Basketball
Germany;9/6/1970;Unknown;Bachelors;Married; Male;35,5;3096;1948;false;iPhone, Ford, Non
Spain;3/16/1989;Public;Bachelors;Divorced; Male;23,5;7017;1884;true;iPhone, Others, Non
Spain;5/6/1984;Unknown;Doctorate;Divorced; Male;31;5278;1278;false;Samsung, Volkswagen, Non
Spain;7/19/1981;Private;Bachelors;Married; Male;19;8264;1407;true;iPhone, Seat, Football
Germany;9/30/1976;Private;Masters;Married; Female;39;6789;1999;false;iPhone, Others, Non
Germany;11/13/1980;Unknown;Bachelors;Married; Male;24,5;5668;1913;false;Samsung, Others, Non
Germany;11/5/1974;Self Employed;Doctorate;Never Married; Male;27,5;7450;1391;false;iPhone, Audi, Non
Portugal;2/19/1990;Unknown;Bachelors;Married; Female;9;4055;355;true;Samsung, Others, Non
Spain;3/13/1971;Private;Doctorate;Married; Female;17;30392;5460;false;iPhone, Others, Non
Spain;9/12/1990;Private;Doctorate;Divorced; Female;17;7021;1741;true;iPhone, BMW, Non
Italy;1/22/1985;Unknown;Doctorate;Divorced; Female;18,5;6183;1929;true;Iphone, BMW, Non
Spain;7/2/1973;Unknown;Doctorate;Separated; Male;37;3546;1293;false;iPhone, Audi, Tennis
Spain;4/7/1983;Private;Bachelors;Married; Female;27,5;87717;4678;false;iPhone, Others, Non
Portugal;8/12/1979;Public;Bachelors;Married; Male;27;62004;4770;true;Samsung, Others, Non
Spain;3/12/1979;Private;Doctorate;Divorced; Male;36,5;26393;6510;true;iPhone, Ford, Football
Portugal;1/27/1980;Private;Masters;Separated; Male;21;4926;1744;false;iPhone, BMW, Non
Germany;2/23/1986;Unknown;Bachelors;Never Married; Male;25,5;38894;6384;true;Samsung, Ford, Football
Italy;6/21/1985;Self Employed;High School;Married; Male;28;4891;1762;false;Samsung, Others, Football
Germany;8/24/1987;Unknown;High School;Married; Male;22,5;3525;1000;false;iPhone, Others, Football
Italy;2/23/1981;Self Employed;High School;Married; Male;20,5;17074;1599;true;Iphone, Others, Non
France;4/15/1974;Public;Bachelors;Married; Male;16,5;8722;1422;false;iPhone, Others, Non
Spain;8/2/1983;Self Employed;Bachelors;Divorced; Female;31;37169;5011;false;Others, Others, Non
Germany;7/20/1984;Private;Masters;Married; Male;38,5;4848;1060;true;iPhone, Others, Non
Germany;5/16/1974;Unknown;Bachelors;Divorced; Female;32,5;8214;571;true;Others, Others, Basketball
France;12/15/1979;Private;Bachelors;Separated; Female;34;4639;619;false;Samsung, Others, Non
Germany;9/26/1977;Public;Bachelors;Married; Male;24,5;7453;1301;true;Samsung, Others, Non
Spain;6/13/1974;Public;Masters;Married; Male;34,5;15376;1474;true;Others, Volkswagen, Non
Germany;3/10/1989;Public;Doctorate;Married; Male;36,5;6117;953;true;Samsung, Ford, Non
Italy;4/9/1974;Unknown;Bachelors;Divorced; Male;33,5;4319;821;false;iPhone, BMW, Basketball
Italy;11/17/1973;Self Employed;Bachelors;Married; Male;36;34370;5128;false;Samsung, Ford, Football
Portugal;7/1/1984;Unknown;High School;Married; Female;24,5;32338;2337;false;iPhone, Others, Non
France;10/3/1982;Unknown;Doctorate;Separated; Male;24,5;6175;930;false;Others, BMW, Non
Spain;6/9/1973;Unknown;Masters;Separated; Female;27;7344;1095;false;iPhone, Honda, Basketball
Italy;5/30/1976;Self Employed;Bachelors;Never Married; Female;28,5;92479;2802;true;iPhone, Audi, Basketball
France;6/30/1982;Unknown;Bachelors;Married; Male;24;4096;1568;true;Samsung, Others, Paddle
France;6/24/1972;Unknown;Bachelors;Married; Male;26;6991;1623;false;iPhone, Ford, Non
Italy;5/14/1985;Unknown;Bachelors;Divorced; Female;35,5;26991;6930;true;Iphone, Ford, Basketball
Spain;12/14/1979;Public;Bachelors;Married; Male;18,5;73560;6065;false;Others, Others, Football
Germany;3/29/1973;Private;High School;Married; Female;24;6843;1135;true;Iphone, Honda, Football
Portugal;4/7/1987;Private;Doctorate;Married; Male;26,5;18192;1232;true;Samsung, Volkswagen, Non
Germany;1/14/1977;Public;Doctorate;Never Married; Male;31;4990;1963;false;iPhone, Others, Paddle
Germany;7/23/1971;Private;High School;Never Married; Male;26,5;6370;917;true;iPhone, Ford, Football
Portugal;12/7/1972;Private;Bachelors;Married; Female;28,5;33276;3933;false;iPhone, Others, Non
Germany;5/11/1989;Unknown;Bachelors;Married; Female;23;8837;980;false;Samsung, Others, Non
Spain;11/15/1972;Public;Masters;Married; Male;20,5;6132;670;false;iPhone, Others, Football
Spain;6/2/1982;Unknown;Bachelors;Married; Female;20;41510;3844;true;Others, Audi, Non
Germany;2/15/1976;Public;High School;Married; Male;21;3921;1437;true;iPhone, Others, Basketball
France;11/3/1970;Public;Bachelors;Separated; Female;27,5;8098;666;true;iPhone, Others, Non
Spain;8/16/1987;Self Employed;High School;Separated; Male;25,5;5258;1689;true;iPhone, Others, Non
Italy;2/24/1974;Private;Masters;Married; Male;16,5;6444;1703;false;Others, Others, Football
France;2/27/1973;Private;High School;Married; Male;27;5215;1819;false;Others, BMW, Tennis
Germany;5/12/1985;Self Employed;Bachelors;Separated; Male;23,5;34952;4947;false;Samsung, Volkswagen, Non
Spain;4/10/1987;Private;Masters;Separated; Male;18;7696;957;false;Samsung, Honda, Non
Portugal;4/25/1987;Unknown;Masters;Divorced; Male;36,5;5787;1725;false;Iphone, Volkswagen, Tennis
Italy;7/3/1987;Private;Bachelors;Never Married; Male;19,5;50591;5192;false;Iphone, Others, Non
Portugal;6/25/1975;Private;Bachelors;Married; Female;18,5;9110;1181;false;Others, Others, Non
Portugal;2/1/1972;Unknown;Bachelors;Married; Male;19;7755;1289;true;iPhone, Others, Non
Germany;8/5/1986;Private;Bachelors;Married; Male;21,5;8093;1274;false;Samsung, Others, Non
Germany;1/13/1989;Unknown;High School;Married; Male;16,5;4669;737;true;Samsung, Audi, Football
Portugal;7/19/1984;Public;Bachelors;Married; Female;29;3720;1931;false;Samsung, Others, Tennis
Portugal;7/17/1971;Public;High School;Married; Male;34,5;5075;1116;false;Iphone, Others, Non
Germany;11/23/1988;Unknown;High School;Married; Female;40;3074;673;false;iPhone, Others, Basketball
France;6/6/1972;Self Employed;High School;Married; Female;30;5464;513;true;Samsung, Others, Paddle
Spain;6/11/1971;Public;Masters;Married; Female;33;3726;1497;false;iPhone, Honda, Basketball
Germany;4/27/1988;Public;High School;Divorced; Male;21,5;83917;5634;false;iPhone, Audi, Paddle
Spain;1/11/1977;Self Employed;Bachelors;Married; Male;35;28064;6975;true;iPhone, Others, Non
Portugal;3/31/1983;Public;Bachelors;Never Married; Female;17,5;6853;1494;true;Iphone, Volkswagen, Non
Germany;2/9/1986;Private;Bachelors;Divorced; Female;29;8802;1778;false;iPhone, Volkswagen, Non
Spain;7/17/1973;Private;High School;Married; Female;12,5;7053;488;false;Samsung, Seat, Basketball
Germany;8/11/1988;Public;High School;Never Married; Male;31,5;5386;734;false;Samsung, Volkswagen, Football
